"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Muklawa","Simerjit Singh","Ammy Virk, Sonam Bajwa, Gurpreet Ghuggi, BN Sharma, Karamjit Anmol, Sarbjit Cheema","India","",2019,"13+","111 min","Comedy, Drama, International","Muklawa takes us back to the times when it was a common tradition for the girl to stay back at her parent's house from a few months to up to a year after her wedding."
"Mr. Family Man","Kreeti Gogia","Praveen Kumar","India","",2020,"16+","55 min","Arts, Entertainment, and Culture, Comedy","Being a SuperMan may be easy. Being a SpiderMan may be simple. But being a FamilyMan is the most difficult thing ever! Solving a problem without any repercussions, taking responsibilities without any pressure and growing a tummy without any worry a Family Man is what the world needs now. Come let's dive into the world of one such Family Man, Praveen Kumar."
"Mr and Miss","Ashok Reddy","Sailesh Sunny, Gnaneswari Kandregula","","",2021,"18+","125 min","Romance","A young man from Amalapuram goes to Hyderabad in search of an IT job. In a chance encounter, he meets a lady who had just got her heart broken. The two of them hit it off immediately and fall in love. They decide to live together and everything seems to go well until they lose a mobile phone which contains their most intimate, private moments."
"Moving Half The Mountain","Helen Langridge","","","",2013,"16+","59 min","Documentary, Special Interest","Moving Half The Mountain documents the true stories of the survivors from one of the worst atrocities of the Second World War the brutal use of prisoners (POWs) and forced local labour by the Japanese to build a railway linking Thailand to Burma. These men are now in their twilight years but their memories are as clear as though it were yesterday."
"Mourning Son","Todd Newman","Dave Navarro, Todd Newman","","",2015,"16+","109 min","Documentary","Dave Navarro is a trauma survivor of the highest order. At 15 years old his mother was brutally murdered by her estranged ex-boyfriend. For 8 long years Dave's mother's killer eluded capture while Dave dealt with his deepest, darkest fears through drugs, art and escapism. In a heartbreaking, inspirational journey, Dave confronts the events that changed his life forever."
"Morphle Non-Dialogue - Mila and Morphle's Magical Life","Arthur van Merwijk","Sabrina Glow","","",2019,"ALL","45 min","Animation, Kids","Join Mila and her magic pet Morphle as he morphes into an ambulance, garbage truck, and many more! This is a non-spoken Morphle compilation that your kids will love and enjoy!"
"Morphle and Mila Easter Special","Moonbug Entertainment","","","",2020,"ALL","51 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs, and lions! Your kids will love these fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Watch these educational and magical cartoons that your kids will surely enjoy!"
"Morphle and Mila Dinosaur Adventures","Moonbug Entertainment","","","",2019,"ALL","52 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs, and lions! Your kids will love these fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Watch these educational and magical cartoons that your kids will surely enjoy!"
"Morphle - We Love Animals & More Magical Kids Cartoons","Arthur van Merwijk","","","",2020,"ALL","27 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs and lions! Your kids will love this fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs or watch these educational cartoons that your kids will surely enjoy!"
"Morphle - The Return of Orphle & More Kids Cartoons","Arthur van Merwijk","Sabrina Glow","","",2020,"ALL","30 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs and lions! Your kids will love this fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs or watch these educational cartoons that your kids will surely enjoy!"
"Morphle - Robot Mila and More Cartoons","Arthur van Merwijk","","","",2019,"ALL","28 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs and lions! Your kids will love this fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs or watch these educational cartoons that your kids will surely enjoy!"
"Morphle - My Magic Animals","Arthur van Merwijk","","","",2019,"ALL","49 min","Animation, Kids","In this compilation of My Magic Pet Morphle cartoon, Morphle morphs into all sorts of things like a unicorn, chameleon, lion, and many more!"
"Morphle - Magical Cartoons & More Educational Videos for Kids","Arthur van Merwijk","","","",2019,"ALL","25 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs and lions! Your kids will love this fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs or watch these educational cartoons that your kids will surely enjoy!"
"Morphle - Fairytale Adventures & More Cartoons for Kids","Arthur van Merwijk","","","",2019,"ALL","31 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs and lions! Your kids will love this fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs or watch these educational cartoons that your kids will surely enjoy!"
"Morphle - Building with Morphle","Arthur van Merwijk","Sabrina Glow","","",2019,"ALL","58 min","Animation, Kids","In this compilation of My Magic Pet Morphle cartoon, Morphle morphs into all sorts of things like a hammer, bulldozer, truck, and many more! Follow Mia and Morphle on their adventures on building stuff!"
"Morning Meditation on Lake Washington","Jim Wilmer","","","",2019,"ALL","120 min","Documentary, Special Interest","Here wildlife comes awake-just before sunrise-with the rhythm of nature and still waters that helps you replenish your exhausted mental resources. Less stress is perhaps one of the most transformative and obvious ways that nature regulates your mental space. Filmed on location with naturally occurring sounds. Special Thanks to Mr. and Mrs. Bradley Harlow, Kirkland, Washington."
"Morning Meditation at Carmel Estuary","Jim Wilmer","","","",2016,"ALL","180 min","Documentary, Special Interest","Just before sunrise, wildlife comes awake with the rhythm of nature, ocean surf and still waters. Contemplate as much or as little as you'd like, and replenish your exhausted mental resources. Less stress is perhaps one of the most transformative and obvious ways that nature regulates your mental space. Filmed on location with the naturally occurring sounds."
"More To Life","Joseph Ebanks","Tay Epps, Peachez Huey, Tevon Mitchell, Xerxes Sabb, Keaton Payne, Jay Mays, Christian Edmonds, Madison Lewis, Beverly Love, Joel Diggs, Sean Richardson, Jaren Hampton, Ashley Smith, Michael Golembiewski, Kim ""The Groove"" Thompson, Shannon Bond, Joseph Ebanks, Fernando Ochoa","","",2020,"18+","90 min","Drama","Sean Foster is a second generation hustler with hopes of leaving the street life. This coming-of-age drama is a struggle between chasing your dreams and the fear of the unknown."
"More Than A Victim: The Angel Colon and Luis Ruiz Story","Jason Holmes","Luis Javier Ruiz, Angel Colon, Senator Dennis K. Baxley, Omar Delgado","","",2020,"18+","53 min","Action, Documentary, Faith and Spirituality","The exploration of Angel Colon and Luis J. Ruiz's survival of the horrific Pulse Nightclub Massacre, the emotional turmoil, and subsequent journey into a new chapter of their lives."
"More Beautiful for Having Been Broken","Nicole Conn","Zoe Ventoura, Kayla Radomski, Cale Ferrin, Harley Jane Kozak, French Stewart, Brooke Elliott","","",2020,"13+","113 min","Drama, Kids, LGBTQ","A broken FBI agent, suspended from her job and struggling with the loss of her mother, travels to the small mountain town she used to visit as a child. She is befriended by a special needs boy who possesses the extraordinary gift of healing others through his unbroken spirit and unique outlook on life. Though she is hurting, she begins to see through his eyes as the puzzle pieces fall into place."
"Moondog Airwaves","Ari Selinger","David Rysdahl, Steven Ogg, Ben Cole, Charlotte Buck, Ben Rezendes, Jason Liles","","",2016,"16+","33 min","Comedy, Horror","On the eerie moonlit night of July 5th, 1995, trumpet playing stoner Trick Stuart works the graveyard shift with his plus-sized tuba playing pal Meathead at the Delta Kream, a 24-hour fast food joint. As they practice their brass band routine, a very unexpected visitor arrives."
"Monster Truck Word Crusher Part 3","Les Anas","Trouble Brown","","",2013,"ALL","2 min","Animation, Kids","Monster Truck Word Crusher 3 has Trouble driving a huge, cool monster truck with six huge wheels. The six wheel drive monster truck is fast in the snow. Words are bam, wham, and slam monster truck video for children."
"Monster Truck Counting For Kids","Les Anas","Grandpa Uppet, Professor Clunk","","",2014,"ALL","3 min","Kids","Monster truck count from one to ten. Count to ten as the monster trucks jump the cars. Kids love learning with monster trucks and other vehicles."
"Monster","Nelson Venkatesan","SJ Surya, Priya Bhavani Shankar, Karunakaran, Anil Kumar","India","",2019,"ALL","138 min","Comedy, Drama","A compassionate man who believes that earth is for every living creature gets troubled by a rat and tries to kill it. Did he kill it or let it go free is the crux of the story."
"MOM BEHIND THE WHEEL","Harold Trompetero","Maleja Restrepo, Tatán Mejía, Biassini Segura, María Elvira Ramírez, Juan Esteban Aponte, Carlos Hurtado, Gustavo Bernate","","",2019,"ALL","88 min","Comedy","A young mother must work as a taxi driver while her sick husband is in charge of the house chores."
"Mississippi Turntup","Dewey Allen","Just Brittany, Mystikal, Mando Allen, Lil Cali, Dewey Allen, Raheem Allen","","",2017,"18+","96 min","Action, Drama, Suspense","Inspiring model Keisha (Just Brittany) gets caught up in a drug war for power between trappers Money (Mando Allen) and Cocaine Redd (Mystikal) while blood flows down the old Mississippi River."
